,Feature Importances
1050,6.258475018253885e-05
2222,6.257169673584315e-05
2404,5.584496042861007e-05
913,5.5836190575897964e-05
2275,5.573699107337252e-05
918,5.5722432632449606e-05
1647,5.5712246248128426e-05
707,5.566137013941434e-05
674,5.563233977451517e-05
875,4.193201771627749e-05
2588,4.1850854018989825e-05
2318,4.183772193604058e-05
383,4.183115898454862e-05
378,4.1802743305029395e-05
1410,4.178091134612874e-05
31,4.172643108619116e-05
746,4.172425483088638e-05
1553,4.172425483088638e-05
1308,4.170359172183705e-05
2394,4.169598415552602e-05
1583,4.169598415552602e-05
2000,4.16720927204063e-05
1443,2.750328590205163e-05
767,2.5919875185831758e-05
2645,0.0
1737,0.0
1903,0.0
2498,0.0
1856,0.0
1857,0.0
1685,0.0
1889,0.0
1738,0.0
2509,0.0
1851,0.0
2618,0.0
1861,0.0
2602,0.0
1684,0.0
